Zeit [in ms],Temp1 [in °C],PWM [0-255],Info
500.0,21.75,0.0, 
750.0,22.25,0.0, 
1001.0,21.75,0.0, 
1252.0,22.25,0.0, 
1503.0,22.25,0.0, 
1754.0,21.75,0.0, 
2006.0,21.75,0.0, 
2257.0,22.0,0.0, 
2508.0,22.5,0.0, 
2759.0,22.0,0.0, 
3010.0,22.5,0.0, 
3261.0,21.75,0.0, 
3512.0,22.25,0.0, 
3763.0,22.5,0.0, 
4014.0,22.25,0.0, 
4265.0,22.25,0.0, 
4516.0,22.25,0.0, 
4767.0,22.0,0.0, 
5018.0,22.25,0.0, 
5269.0,22.25,0.0, 
5520.0,22.25,0.0, 
5771.0,21.75,0.0, 
6022.0,22.25,0.0, 
6273.0,22.25,0.0, 
6524.0,22.5,0.0, 
6775.0,22.0,0.0, 
7026.0,22.25,0.0, 
7277.0,22.25,0.0, 
7528.0,22.0,0.0, 
7779.0,22.25,0.0, 
8030.0,21.5,0.0, 
8281.0,21.75,0.0, 
8532.0,22.5,0.0, 
8783.0,22.25,0.0, 
9034.0,22.25,0.0, 
9285.0,22.25,0.0, 
9536.0,22.25,0.0, 
9787.0,22.0,0.0, 
10038.0,21.75,0.0, 
10289.0,22.25,0.0, 
10540.0,22.0,0.0, 
10791.0,22.0,0.0, 
11042.0,22.5,0.0, 
11293.0,22.25,0.0, 
11544.0,22.25,0.0, 
11795.0,22.25,0.0, 
12046.0,22.25,0.0, 
12297.0,22.25,0.0, 
12548.0,22.5,0.0, 
12800.0,22.0,0.0, 
13051.0,22.0,0.0, 
13302.0,22.25,0.0, 
13553.0,22.25,0.0, 
13804.0,22.25,0.0, 
14055.0,22.5,0.0, 
14306.0,22.25,0.0, 
14557.0,22.5,0.0, 
14808.0,22.25,0.0, 
15059.0,22.25,0.0, 
15310.0,22.25,0.0, 
15561.0,22.25,0.0, 
15812.0,22.25,0.0, 
16063.0,22.25,0.0, 
16314.0,22.0,0.0, 
16565.0,22.25,0.0, 
16816.0,22.25,0.0, 
17067.0,22.5,0.0, 
17318.0,22.5,0.0, 
17569.0,22.25,0.0, 
17820.0,22.25,0.0, 
18071.0,22.25,0.0, 
18322.0,22.5,0.0, 
18573.0,22.75,0.0, 
18824.0,22.25,0.0, 
19075.0,22.0,0.0, 
19326.0,22.25,0.0, 
19577.0,22.25,0.0, 
19828.0,22.0,0.0, 
20079.0,22.25,0.0, 
20330.0,22.0,0.0, 
20581.0,22.0,0.0, 
20832.0,22.25,0.0, 
21083.0,22.25,0.0, 
21334.0,22.25,0.0, 
21585.0,21.75,0.0, 
21836.0,22.5,0.0, 
22087.0,22.0,0.0, 
22338.0,22.5,0.0, 
22589.0,22.25,0.0, 
22840.0,22.5,0.0, 
23091.0,22.25,0.0, 
23342.0,21.75,0.0, 
23593.0,22.0,0.0, 
23844.0,22.25,0.0, 
24095.0,22.5,0.0, 
24346.0,22.25,0.0, 
24597.0,22.5,0.0, 
24848.0,22.25,0.0, 
25099.0,22.25,0.0, 
25350.0,22.0,0.0, 
25601.0,22.25,0.0, 
25852.0,22.0,0.0, 
26103.0,22.0,0.0, 
26354.0,22.25,0.0, 
26605.0,22.25,0.0, 
26856.0,22.0,0.0, 
27107.0,22.25,0.0, 
27358.0,22.25,0.0, 
27609.0,22.25,0.0, 
27860.0,22.25,0.0, 
28111.0,22.25,0.0, 
28362.0,22.25,0.0, 
28613.0,22.25,0.0, 
28864.0,22.5,0.0, 
29115.0,22.5,0.0, 
29366.0,22.0,0.0, 
29617.0,22.25,0.0, 
29868.0,22.0,0.0, 
30119.0,22.25,0.0, 
30370.0,22.25,0.0, 
30621.0,22.25,0.0, 
30872.0,22.25,0.0, 
31123.0,22.0,0.0, 
31374.0,22.25,0.0, 
31625.0,22.25,0.0, 
31876.0,22.25,0.0, 
32128.0,22.0,0.0, 
32379.0,22.0,0.0, 
32630.0,21.75,0.0, 
32881.0,22.25,0.0, 
33132.0,22.5,0.0, 
33383.0,22.0,0.0, 
33634.0,22.25,0.0, 
33885.0,22.5,0.0, 
34136.0,22.25,0.0, 
34387.0,22.25,0.0, 
34638.0,22.25,0.0, 
34889.0,22.0,0.0, 
35140.0,22.25,0.0, 
35391.0,21.75,0.0, 
35642.0,22.0,0.0, 
35893.0,22.25,0.0, 
36144.0,22.5,0.0, 
36395.0,22.25,0.0, 
36646.0,22.25,0.0, 
36897.0,22.25,0.0, 
37148.0,22.25,0.0, 
37399.0,22.25,0.0, 
37650.0,22.5,0.0, 
37901.0,22.25,0.0, 
38152.0,22.25,0.0, 
38403.0,22.25,0.0, 
38654.0,22.25,0.0, 
38905.0,22.25,0.0, 
39156.0,22.25,0.0, 
39407.0,22.25,0.0, 
39658.0,22.25,0.0, 
39909.0,22.25,0.0, 
40160.0,22.25,0.0, 
40411.0,22.5,0.0, 
40662.0,22.5,0.0, 
40913.0,22.25,0.0, 
41164.0,22.5,0.0, 
41415.0,22.0,0.0, 
41666.0,22.25,0.0, 
41917.0,22.25,0.0, 
42168.0,21.75,0.0, 
42419.0,22.5,0.0, 
42670.0,22.0,0.0, 
42921.0,22.5,0.0, 
43172.0,22.25,0.0, 
43423.0,22.75,0.0, 
43674.0,22.25,0.0, 
43925.0,22.25,0.0, 
44176.0,22.25,0.0, 
44427.0,22.25,0.0, 
44678.0,22.25,0.0, 
44929.0,22.5,0.0, 
45180.0,22.25,0.0, 
45431.0,22.25,0.0, 
45682.0,22.25,0.0, 
45933.0,22.0,0.0, 
46184.0,22.25,0.0, 
46435.0,22.25,0.0, 
46686.0,22.0,0.0, 
46937.0,22.25,0.0, 
47188.0,22.25,0.0, 
47439.0,22.25,0.0, 
47690.0,22.25,0.0, 
47941.0,22.5,0.0, 
48192.0,22.0,0.0, 
48443.0,22.25,0.0, 
48694.0,22.25,0.0, 
48945.0,21.75,0.0, 
49196.0,22.25,0.0, 
49447.0,22.25,0.0, 
49698.0,22.25,0.0, 
49949.0,22.25,0.0, 
50200.0,22.25,0.0, 
50451.0,22.25,0.0, 
50702.0,22.25,0.0, 
50953.0,22.25,0.0, 
51204.0,22.25,0.0, 
51456.0,22.5,0.0, 
51707.0,22.25,0.0, 
51958.0,22.0,0.0, 
52209.0,22.25,0.0, 
52460.0,22.5,0.0, 
52711.0,22.25,0.0, 
52962.0,22.0,0.0, 
53213.0,22.25,0.0, 
53464.0,22.0,0.0, 
53715.0,22.25,0.0, 
53966.0,22.25,0.0, 
54217.0,22.5,0.0, 
54468.0,22.25,0.0, 
54719.0,22.25,0.0, 
54970.0,22.0,0.0, 
55221.0,22.0,0.0, 
55472.0,22.0,0.0, 
55723.0,22.25,0.0, 
55974.0,22.0,0.0, 
56225.0,22.25,0.0, 
56476.0,22.25,0.0, 
56727.0,22.0,0.0, 
56978.0,22.5,0.0, 
57229.0,22.25,0.0, 
57480.0,22.5,0.0, 
57731.0,22.0,0.0, 
57982.0,21.5,0.0, 
58233.0,22.0,0.0, 
58484.0,22.25,0.0, 
58735.0,22.25,0.0, 
58986.0,22.0,0.0, 
59237.0,22.25,0.0, 
59488.0,22.25,0.0, 
